Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (Ohio)),,,,$23.42
,Compute:,US East (Ohio),$20.36
,EBS Volumes:,US East (Ohio),$3
,EBS IOPS:,US East (Ohio),$0
,EBS Snapshots:,US East (Ohio),$0.06
Amazon S3 Service (US East (Ohio)),,,,$0.14
,S3 Standard Storage:,US East (Ohio),$0.12
,S3 Standard Put Requests:,US East (Ohio),$0.01
,S3 Standard Other Requests:,US East (Ohio),$0.01
Amazon Route 53 Service,,,,$0.5
,Hosted Zones:,Global,$0.5
Amazon RDS Service (US East (Ohio)),,,,$12.45
,DB instances:,US East (Ohio),$12.45
,Storage:,US East (Ohio),$0
Amazon DynamoDB Service (US East (Ohio)),,,,$0
,On-demand Capacity:,US East (Ohio),$0
,Provisioned Capacity:,US East (Ohio),$0
,Indexed Data Storage:,US East (Ohio),$0
,DynamoDB Streams:,US East (Ohio),$0
,On-demand backup:,US East (Ohio),$0
,Continuous backup (PITR):,US East (Ohio),$0
,Restoring a table:,US East (Ohio),$0
Amazon ElastiCache Service (US East (Ohio)),,,,$12.45
,On-Demand Cache Nodes:,US East (Ohio),$12.45
Amazon CloudWatch Service (US East (Ohio)),,,,$0
,Standard Alarms:,US East (Ohio),$0
Amazon SNS Service (US East (Ohio)),,,,$0
,Requests:,US East (Ohio),$0
,Notifications:,US East (Ohio),$0
Amazon SQS Service (US East (Ohio)),,,,$0
,Requests - Standard Queue:,US East (Ohio),$0
,Requests - FIFO Queue:,US East (Ohio),$0
Amazon SWF Service (US East (Ohio)),,,,$0
,Executions:,US East (Ohio),$0
,Chargeable Actions:,US East (Ohio),$0
,Workflow Days:,US East (Ohio),$0
AWS Data Transfer In,,,,$0
,US East (Ohio) Region:,Global,$0
AWS Data Transfer Out,,,,$1.26
,US East (Ohio) Region:,Global,$1.26
AWS Support (Basic),,,,$0
,Support for all AWS services:,,$0
,,Free Tier Discount:,,$-49.72
,,Total Monthly Payment:,,$0.5
